英文单词名,中文单词名,单词中文描述,所属单元,单词难度等级
pectinase,果胶酶,分解果胶的酶（用于果汁澄清）,Chapter 20 Biotechnology and genetic,高
lactase,乳糖酶,分解乳糖为葡萄糖和半乳糖的酶,Chapter 20 Biotechnology and genetic,高
lactose,乳糖,见前文描述,Chapter 20 Biotechnology and genetic,中
fermentation,发酵,微生物在无氧条件下分解有机物的过程,Chapter 20 Biotechnology and genetic,中
fermenter,发酵罐,用于大规模发酵的设备,Chapter 20 Biotechnology and genetic,高
genetic engineering,基因工程,人工改造生物基因的技术,Chapter 20 Biotechnology and genetic,中
genetically modified,转基因的,通过基因工程改造的生物,Chapter 20 Biotechnology and genetic,中
herbicide resistant,抗除草剂的,对除草剂具有抗性的性状（如转基因作物）,Chapter 20 Biotechnology and genetic,中
pest-resistant,抗虫的,对害虫具有抗性的性状,Chapter 20 Biotechnology and genetic,中
restriction enzyme,限制性内切酶,切割DNA特定序列的酶（基因工程工具）,Chapter 20 Biotechnology and genetic,高
sticky ends,粘性末端,DNA切割后形成的单链末端（便于连接）,Chapter 20 Biotechnology and genetic,高
plasmid,质粒,细菌中独立于染色体的环状DNA分子（载体）,Chapter 20 Biotechnology and genetic,高
ligase,连接酶,连接DNA片段的酶,Chapter 20 Biotechnology and genetic,高
modification,修改,此处指基因修饰,Chapter 20 Biotechnology and genetic,中
sterilised,灭菌的,无微生物存在的状态,Chapter 20 Biotechnology and genetic,高
DNA ligase,DNA连接酶,见ligase,Chapter 20 Biotechnology and genetic,高
recombinant plasmid,重组质粒,插入外源DNA的质粒,Chapter 20 Biotechnology and genetic,高
deforestation,去森林化,砍伐森林导致的生态破坏,Chapter 21 Human influences on ecosystems,中
clear-felling,完全砍伐,大面积砍伐所有树木的行为,Chapter 21 Human influences on ecosystems,高
monoculture,单一栽培,大面积种植单一作物的农业方式,Chapter 21 Human influences on ecosystems,高
livestock,牲畜,家养动物（如牛、羊）,Chapter 21 Human influences on ecosystems,低
biodiversity,生物多样性,生物种类和基因的多样性,Chapter 21 Human influences on ecosystems,低
greenhouse effect,温室效应,大气中温室气体导致的全球变暖现象,Chapter 21 Human influences on ecosystems,低
global warming,全球变暖,地球平均温度上升的现象,Chapter 21 Human influences on ecosystems,低
nuclear fall-out,核泄漏,核事故导致的放射性物质扩散,Chapter 21 Human influences on ecosystems,高
eutrophication,富营养化,水体中营养物质过多导致的污染,Chapter 21 Human influences on ecosystems,中
persistent insecticide,持久性杀虫剂,难以降解的杀虫剂（如DDT）,Chapter 21 Human influences on ecosystems,高
conservation,保护,保护自然环境和生物多样性的措施,Chapter 21 Human influences on ecosystems,低
recycling,回收利用,废弃物再加工利用的过程,Chapter 21 Human influences on ecosystems,低
biodegradable,可生物降解的,能被微生物分解的物质,Chapter 21 Human influences on ecosystems,中
raw sewage,污水,未经处理的生活废水,Chapter 21 Human influences on ecosystems,中
trickling filter,滴滤池,污水处理中的过滤装置,Chapter 21 Human influences on ecosystems,高
activated sludge,活性污泥,污水处理中含微生物的絮状污泥,Chapter 21 Human influences on ecosystems,高
restocking,种群恢复,向生态系统补充生物个体的措施,Chapter 21 Human influences on ecosystems,高
endangered species,濒危物种,面临灭绝风险的物种,Chapter 21 Human influences on ecosystems,低
sustainable,可持续的,不破坏环境的发展方式,Chapter 21 Human influences on ecosystems,低
introduced species,外来物种,引入到非原生环境的物种（可能造成入侵）,Chapter 21 Human influences on ecosystems,中
selective breeding,选择育种,见前文描述,Chapter 21 Human influences on ecosystems,中
artificial insemination,人工授精,人工将精子导入雌性体内的技术,Chapter 21 Human influences on ecosystems,高
IVF,体外受精,在体外完成受精的技术（辅助生殖）,Chapter 21 Human influences on ecosystems,高
